value,scenario,label
power,After accomplishing every task I cross each item off my list.,1
conformity,"when i was a young boy, i told one of my best friends that i would never talk to him again if he told my parents i was secretly going to go smoke a cig in the woods",-1
benevolence,getting mad at my mom for not letting me spend the weekend with my gf,-1
stimulation,I really don't want to turn 15,-1
conformity,I want to bang this old lady at my job.,-1
benevolence,Nothing much to live for,-1
security,wanting to break up with my gf,-1
hedonism,My sister in law is so beautiful,1
benevolence,"I love looking at memes, but when people other than really close friends send me a meme, I automatically know they don't really know how to hold a conversation or be social in general",-1
hedonism,"I wanted a huge happy dog for Christmas, but Santa decided I was on the naughty list",1
conformity,I almost said REEE to my mother.,-1
conformity,leaving my possibly drunk friend to drive herself home because she was being too controlling and mean,-1
achievement,I accidently told a blind man to go the complete different way than he asked me,-1
power,asking my neighbor not to park out front of our house,1
security,ordering pizza in a snowstorm,-1
conformity,teasing my bestfriend of 7 years,-1
stimulation,Trouble keeping in love with the same woman - sometimes my brain is on fire....,1
achievement,After 7+ years finally decided to create an account!,1
benevolence,Small Kindness Makes Big Difference in Child's Life,1
benevolence,"I’m a transgender woman with 4 husbands, and they are starting to fight over me",-1
self-direction,Freedom From Controlling Wife Is Worth the Price of Divorce,1
tradition,I kind of want to get into a abusive relationship,-1
security,not trying to involve my parents in my life,-1
stimulation,CAN SOMEONE HELP? THIS IS URGENT!,1
achievement,I can't help but feel bad..,-1
stimulation,I feel like I'm spiralling into addiction and can't stop,-1
power,I key cars that have sjw bumper stickers on them,-1
benevolence,I’m starting to lose myself.,-1
security,not doing all of my wife's online class work,1
tradition,getting too drunk on NYE,-1
tradition,not wanting to pay money for the damaged floor,-1
tradition,not lighting Hanukkah candles with my dad,-1
benevolence,I use the money that wagecucks give me to pay wagecucks to do everything for me because I'm too lazy to do anything myself.,-1
universalism,being mad at my friend for canceling,-1
stimulation,breaking up with my gf because of her tattoos,-1
stimulation,possibly being in love with someone else while in a relationship,1
stimulation,buying my mom a plane ticket without conferring with her,1
stimulation,I spent the weekend doing nothing productive. Instead I played video games and slept.,-1
stimulation,getting annoyed by people talking foreign languages and not be able to communicate in the national language,-1
hedonism,"I love my girlfriend, always have. But for some reason I can't stop flirting and cheating with other girls, it's like I can never have enough. Why?..",1
benevolence,being mad at my parents for helping me out,-1
security,sending a picture of my coworker sleeping on the job to my bosses boss,-1
security,I don't think I've ever told my parents or siblings I love them,-1
hedonism,"Sometimes when I watch videos of really bad car crashes, and someone goes flying through the air, I laugh.",1
security,I think a married woman at work has been flirting with me and I've been flirting back,-1
security,"When they ran out, they didn't know what to do.",-1
achievement,I make an effort every day to slowly ensure I disappear from my family’s lives as time moves forward.,-1
benevolence,not wanting to speak to my mom,-1
hedonism,refusing to go out with gf even though she would have paid,-1
security,trying to keep family Hep c free,1
benevolence,I slit dog throats,-1
stimulation,"He was so bored, he craved a change.",-1
stimulation,not being excited about my girlfriends job prospects,-1
hedonism,When I’m home alone I watch Ariana Grande’s music videos,1
conformity,being upset with my boyfriend for behaving in ways I don't think are appropriate around my 3-year-old son,1
security,avoiding a special needs man and his family at work,-1
security,saying something about my sister-in-law's behaviour towards my mother and father-in-law,-1
conformity,being less than kind to an older woman who constantly shows up too early,-1
power,standing my ground against a teacher,1
benevolence,I turn 29 at the weekend and feel completely lost in life,-1
universalism,We climbed Cowles Mountain in time to see the sunrise.,1
stimulation,thinking about studying something that won't make me earn a lot of money,1
hedonism,"Happy Easter, my wife and I just took our Christmas tree down today.",1
hedonism,I’m bulimic and I love it,1
power,"When I'm in my car and I have to stop for a pedestrian who is not following pedestrian rules, I secretly imagine running them over.",-1
benevolence,I slip servers a 50~% tip every time I go out to eat with my SO's mother,1
conformity,getting into a heated political discussion with a friend,-1
hedonism,I'm a woman using men's deodorant and I don't care,1
benevolence,Tim was upset with his parents.,-1
power,controlling my partner's drinking,1
benevolence,I think my parents are in a loveless marriage.,-1
achievement,I enjoy sniffing the crotches of stereotypical nerdy men. I found 90% of them had crotches that smelled like fresh tuna fish.,-1
universalism,I can't hear the drums echoing tonight,-1
security,"Well I’ve come to terms I will never accomplish anything in my life. It’s too hard, and I don’t have anyone to help. I work all day everyday. No saving whatsoever. I’m frugal. Have student loan debt. Im done. I don’t see my life getting any better. I’m stuck.",-1
tradition,responding back with sarcasm in response to a customer's sarcasm,-1
security,not helping my friend with this phd opportunity he really wants,-1
benevolence,"This christmas, she plans to take her parents with her.",1
